,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
0,9.965197005,28.61627632,11.89036772,63.24029098,6.46E-05,3.277,184.3025
1,9.765675085,25.43151328,12.40346944,63.50010224,4.69E-05,3.277,184.3025
2,9.869633717,26.30457819,12.67159439,67.16739447,5.18E-05,3.351,154.1825
3,10.04508852,27.65384506,13.04036023,68.41874383,5.77E-05,3.351,154.1825
4,10.31888254,29.73800248,14.41443253,72.88899112,6.91E-05,3.448,141.205
5,10.8071097,34.28134443,14.21435186,73.73625975,9.13E-05,3.448,141.205
6,11.47492966,39.4415281,16.01676826,78.14902654,0.000117527,3.514,158.40625
7,12.18469471,44.55622644,15.86973989,80.67152297,0.000143157,3.514,158.40625
8,12.9957312,50.22305203,15.69448291,76.50810374,0.000168306,3.721,219.26375
9,13.71304852,53.58270811,15.94877019,78.88406401,0.000185626,3.721,219.26375
10,14.14667798,56.57688438,15.35822834,75.55229102,0.000199422,4.178,199.65
11,14.74459592,57.04977704,15.70229507,75.66249041,0.000199641,4.178,199.65
12,14.88728826,56.14286595,14.34995403,71.58459574,0.000192781,4.454,197.27125
13,14.80885535,55.02181858,14.66595114,72.63213768,0.000186439,4.454,197.27125
14,10.44516762,48.84177476,14.07578512,70.2421385,0.000176435,4.512,224.915
15,10.15312077,45.49814379,14.00488593,69.21284505,0.000158116,4.512,224.915
16,10.43532422,45.55775538,13.99061423,70.11485518,0.00015784,4.403,222.745
17,10.24439393,43.69484295,13.8710177,69.9015279,0.000147241,4.403,222.745
18,10.23187483,43.0498662,13.94576685,70.95479134,0.000144108,4.412,243.075
19,9.821825441,41.33139621,14.18966227,70.95467206,0.000136453,4.412,243.075
20,10.08067514,41.81800837,12.51092664,64.53128174,0.000137443,4.501,237.07125
21,9.90480812,41.27183125,11.93472171,63.69125764,0.000135399,4.501,237.07125
22,9.624949058,40.53297791,10.86428634,59.37280408,0.000133862,4.676,291.81125
23,9.879537102,40.60982119,10.78729761,58.37742723,0.000131107,4.676,291.81125
24,10.04414717,41.42348879,8.153716906,47.20174607,0.000135666,4.895,311.44375
25,10.0730215,41.68833392,8.302198864,45.9944892,0.00013706,4.895,311.44375
26,10.28244204,41.87240612,7.190605394,44.95120529,0.000137002,5.006,274.8875
27,10.50016704,43.12656918,6.869225541,45.48846146,0.000142957,5.006,274.8875
